"NTDETAILCODE","FDCODE","SEQ","NTCODE","AMOUNT","UNIT"
172,6,22,20,1.7,g
173,6,23,21,1,g
174,6,24,22,0,g
175,6,25,25,0,g
176,7,1,1,84,kcal
177,7,2,2,81.1,g
178,7,3,3,2.26,g
179,7,4,4,2.74,g
180,7,5,5,12.67,g
181,7,6,23,0,g
182,7,7,24,1.21,g
183,7,8,6,15,g
184,7,9,7,24,g
185,7,10,8,10,g
186,7,11,9,545,g
187,7,12,10,60,g
188,7,13,11,0,g
189,7,14,12,0,g
190,7,15,13,0,g
191,7,16,14,0,g
192,7,17,15,0,g
193,7,18,16,0,g
194,7,19,17,0,g
195,7,20,18,0,g
196,7,21,19,0,g
197,7,22,20,0,g
198,7,23,21,0,g
199,7,24,22,0,g
200,7,25,25,0,g
201,8,1,1,77,kcal
202,8,2,2,85,g
203,8,3,3,4.4,g
204,8,4,4,4.35,g
205,8,5,5,5.06,g
206,8,6,23,0,g
207,8,7,24,1.2,g
208,8,8,6,5,g
209,8,9,7,48,g
210,8,10,8,11,g
211,8,11,9,479,g
212,8,12,10,68,g
213,8,13,11,0,g
214,8,14,12,0,g
215,8,15,13,0,g
216,8,16,14,0,g
217,8,17,15,0,g
218,8,18,16,0,g
219,8,19,17,0,g
220,8,20,18,0,g
221,8,21,19,0,g
222,8,22,20,0,g
223,8,23,21,0,g
224,8,24,22,0,g
225,8,25,25,0,g
226,9,1,1,68,kcal
227,9,2,2,84.8,g
1,0,1,1,83,kcal
2,0,2,2,85,g
3,0,3,3,7.3,g
4,0,4,4,5.2,g
5,0,5,5,1.8,g
6,0,6,23,0,g
7,0,7,24,0.7,g
8,0,8,6,85,g
9,0,9,7,63,g
10,0,10,8,0,g
11,0,11,9,0,g
12,0,12,10,0,g
13,0,13,11,2.5,g
14,0,14,12,0,g
15,0,15,13,0,g
16,0,16,14,0,g
17,0,17,15,14,g
18,0,18,16,164,g
19,0,19,17,165,g
20,0,20,18,0.01,g
21,0,21,19,0.32,g
22,0,22,20,1.6,g
23,0,23,21,0,g
24,0,24,22,0,g
25,0,25,25,0,g
26,1,1,1,60,kcal
27,1,2,2,84.7,g
28,1,3,3,3.75,g
29,1,4,4,0.75,g
30,1,5,5,9.46,g
31,1,6,23,0,g
32,1,7,24,1.37,g
33,1,8,6,6,g
34,1,9,7,17,g
35,1,10,8,5,g
36,1,11,9,584,g
37,1,12,10,31,g
38,1,13,11,0,g
39,1,14,12,0,g
40,1,15,13,0,g
41,1,16,14,0,g
42,1,17,15,0,g
43,1,18,16,0,g
