"FDCODE","FDTNAME","FDENAME","IMAGEURL","FOODDESC"
0,กระเพาะปลา,Fish maw soup,https://www.nestleprofessional.co.th/sites/default/files/styles/np_recipe_detail/public/2023-08/fish-maw-540x400.png?itok=A5aHYvBC,
1,เส้นหมี่กระเพาะปลา,Fish maw soup with rice noodles,https://img.wongnai.com/p/1968x0/2019/06/14/560733084be14126aea328fb78612638.jpg,
2,ก๋วยจั๊บน้ำข้น,Rice noodles big sheet soup with meat an,https://images.deliveryhero.io/image/fd-th/LH/a1an-listing.jpg,
3,ก๋วยเตี๋ยวแขก,Rice noodles with beff curry,https://sharp-weeclub.com/wp-content/uploads/2021/03/%E0%B9%81%E0%B8%81%E0%B8%873-990x510-1.jpg,
4,ก๋วยเตี๋ยวขั้วไก่,Rice noodles with chicken fried,https://i.ytimg.com/vi/jrm1OELQe7o/maxresdefault.jpg,
5,ก๋วยเตี๋ยวเนื้อสับ,Rice noodles topped with chopped beef an,https://img.wongnai.com/p/1968x0/2021/09/06/d92b704db14d49e88e5ff389e00229ca.jpg,
6,ก๋วยเตี๋ยวผัดไทยใส่ไข่,Rice noodles fried Thai style,https://f.ptcdn.info/787/074/000/qz7tthts6vWB8cG38cA-o.jpg,
7,วุ้นเส้นเย็นตาโฟน้ำ,Pink noodles soup,https://img.wongnai.com/p/1968x0/2019/12/03/812f233d186143e68e23c59a06cdcccd.jpg,
8,ก๊วยเตี๋ยวเซี่ยงไฮ้น้ำ,Shanghai noodles and soup,https://img.wongnai.com/p/1968x0/2022/09/11/66868e8b185c4bdba6f8ad57e0e107f1.jpg,
9,บะหมี่เกี๋ยวน้ำหมูแดง,Wheat noodles with roasted pork and soup,https://img-global.cpcdn.com/recipes/3d32aea0894e28ca/680x482cq70/%E0%B8%A3%E0%B8%9B-%E0%B8%AB%E0%B8%A5%E0%B8%81-%E0%B8%82%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%95%E0%B8%A3-%E0%B8%9A%E0%B8%B0%E0%B8%AB%E0%B8%A1%E0%B9%80%E0%B8%81%E0%B8%A2%E0%B8%A7%E0%B8%AB,
10,บะหมี่แห้งหมู,Wheat noodles with pork without soup,https://www.calforlife.com/image/food/-Pork-Noodles.jpg,
